Product,Opening inventory,Stock In,Stock out,Schedule inventory,Total inventory,In stock
产品名称,初始库存数量,入库总数量,出库总数量,预定总数量,库存总数量,可用库存
Papaya,-1000,0,4,0,-1004,-1004
Date,16,7,25,6,-2,-8
产品X,0,0,4,0,-4,-4
Quince,0,0,4,0,-4,-4
Kiwi,32,13,29,18,16,-2
Tomato,0,0,0,0,0,0
橘子,0,0,0,0,0,0
苹果,0,0,0,0,0,0
Lemon,0,0,0,0,0,0
Apple,0,0,0,0,0,0
Fig,0,0,0,0,0,0
Honeydew,0,0,0,0,0,0
Mango,0,0,0,0,0,0
Kiwi,0,0,0,0,0,0
Jackfruit,0,0,0,0,0,0
Raspberry,0,0,0,0,0,0
Italian Plum,0,0,0,0,0,0
Strawberry,0,0,0,0,0,0
Elderberry,0,0,0,0,0,0
Date,0,0,0,0,0,0
Cherry,0,0,0,0,0,0
Grape,0,0,0,0,0,0
Nectarine,0,0,0,0,0,0
Banana,0,0,0,0,0,0
鼠標,0,0,0,0,0,0
orange,0,0,0,0,0,0
pencil,0,0,0,0,0,0
cup,0,0,0,0,0,0
lemon,0,0,0,0,0,0
Orange,0,4,0,0,4,4
oil,10,4,0,0,14,14
Grape,17,27,5,16,39,23
Italian Plum,33,8,9,7,32,25
Tomato,29,28,3,9,54,45
Mango,83,6,26,17,63,46
Lemon,42,39,19,15,62,47
Fig,66,12,16,8,62,54
Cherry,53,23,9,7,67,60
Elderberry,40,32,3,6,69,63
Apple,87,19,18,16,88,72
Nectarine,51,39,7,11,83,72
Papaya,88,13,15,12,86,74
Banana,49,44,10,6,83,77
Raspberry,51,50,13,7,88,81
Honeydew,71,38,8,18,101,83
Orange,100,10,15,12,95,83
Strawberry,77,39,15,13,101,88
Quince,92,21,7,11,106,95
plm,110,0,10,0,100,100
Jackfruit,96,34,3,5,127,122
产品Z,1500,4,0,0,1504,1504
产品Y,3010,0,4,0,3006,3006
AD MILK,40000,40,0,0,40040,40040
